epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,6635.86,0.46872,0.33071,0.97577,0.99662,0.99895,0.995,0.93727,0.27868,0.16137,0.70128,0.0002476,0.0002476,0.0002476
78,6726.63,0.45682,0.32324,0.96845,0.99702,0.99921,0.995,0.94245,0.27916,0.15412,0.69982,0.0002377,0.0002377,0.0002377
79,6817.59,0.45619,0.32028,0.96893,0.99681,0.99995,0.995,0.94214,0.27354,0.15317,0.69715,0.0002278,0.0002278,0.0002278
80,6907.61,0.45319,0.32664,0.9633,0.995,1,0.995,0.94061,0.28052,0.15157,0.70222,0.0002179,0.0002179,0.0002179
81,6993.63,0.46457,0.32482,0.97496,0.99664,1,0.995,0.93984,0.28068,0.1515,0.70181,0.000208,0.000208,0.000208
82,7078.11,0.43753,0.31221,0.96214,0.9961,1,0.995,0.93924,0.27935,0.15276,0.7003,0.0001981,0.0001981,0.0001981
83,7168.26,0.44804,0.31648,0.96859,0.9949,0.99983,0.995,0.9377,0.27759,0.15205,0.70093,0.0001882,0.0001882,0.0001882
84,7257.16,0.45437,0.32039,0.96947,0.99732,0.99786,0.995,0.94018,0.28139,0.15167,0.70165,0.0001783,0.0001783,0.0001783
85,7333.22,0.44391,0.30839,0.96045,0.99811,0.99738,0.995,0.94335,0.27317,0.15043,0.69601,0.0001684,0.0001684,0.0001684
86,7419.59,0.44061,0.30699,0.9646,0.99792,0.99766,0.995,0.93782,0.27685,0.1499,0.69638,0.0001585,0.0001585,0.0001585
87,7509.38,0.43593,0.30397,0.95864,0.99774,0.99629,0.995,0.93966,0.27667,0.14781,0.69671,0.0001486,0.0001486,0.0001486
88,7596.12,0.4374,0.30526,0.96005,0.99598,0.9993,0.995,0.94254,0.27313,0.14695,0.69647,0.0001387,0.0001387,0.0001387
89,7687.5,0.4313,0.29936,0.95688,0.99586,0.99955,0.995,0.94126,0.27671,0.14921,0.69834,0.0001288,0.0001288,0.0001288
90,7766.52,0.43341,0.2994,0.95698,0.99621,0.99828,0.995,0.94319,0.27323,0.145,0.69727,0.0001189,0.0001189,0.0001189
91,7889.87,0.29995,0.17379,0.87121,0.99801,0.99702,0.995,0.94324,0.27705,0.15748,0.6988,0.000109,0.000109,0.000109
92,7978.45,0.30086,0.17282,0.86838,0.99601,0.99908,0.99498,0.94296,0.27483,0.1543,0.69823,9.91e-05,9.91e-05,9.91e-05
93,8068.45,0.29388,0.16956,0.86755,0.99661,0.99846,0.995,0.94205,0.27337,0.15303,0.69599,8.92e-05,8.92e-05,8.92e-05
94,8159.22,0.28832,0.16585,0.85793,0.99485,0.99925,0.995,0.94078,0.27425,0.14707,0.69731,7.93e-05,7.93e-05,7.93e-05
95,8247.7,0.28349,0.16187,0.86354,0.99922,0.99998,0.995,0.94419,0.27007,0.14429,0.69434,6.94e-05,6.94e-05,6.94e-05
96,8337.47,0.28558,0.16146,0.86101,0.99703,0.99769,0.99498,0.94563,0.26879,0.14456,0.69317,5.95e-05,5.95e-05,5.95e-05
97,8418.84,0.28332,0.16182,0.85876,0.99852,1,0.995,0.94511,0.26955,0.14155,0.69434,4.96e-05,4.96e-05,4.96e-05
98,8499.88,0.2789,0.15676,0.8585,0.9986,1,0.995,0.94447,0.26791,0.14033,0.69469,3.97e-05,3.97e-05,3.97e-05
99,8586.34,0.27737,0.15454,0.85716,0.99914,1,0.995,0.94382,0.26822,0.13894,0.6946,2.98e-05,2.98e-05,2.98e-05
100,8675.75,0.27942,0.15714,0.85911,0.9991,1,0.995,0.94392,0.26768,0.13877,0.69385,1.99e-05,1.99e-05,1.99e-05
